client_id,variation,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
9615064,Test,7.0,87.0,41,U,2.0,36626.3,3.0,6.0
5842501,Test,20.0,247.0,54,F,3.0,188347.92,4.0,7.0
5646191,Control,7.0,90.0,44,U,2.0,28929.76,2.0,5.0
2414662,Test,14.0,178.0,64,M,2.0,467755.88,6.0,9.0
7392475,Test,6.0,82.0,52,U,2.0,39449.15,2.0,5.0
8938855,Control,23.0,286.0,61,F,2.0,517210.46,3.0,6.0
8848698,Test,6.0,73.0,34,U,2.0,184925.94,6.0,9.0
6793099,Control,7.0,84.0,60,U,2.0,424920.02,6.0,9.0
7857846,Test,16.0,193.0,65,M,2.0,54532.13,6.0,9.0
8125661,Test,10.0,127.0,36,M,2.0,26726.67,6.0,9.0
2834150,Test,5.0,65.0,32,U,2.0,25138.4,1.0,4.0
539094,Control,14.0,179.0,74,F,2.0,111207.72,5.0,8.0
1645488,Test,6.0,83.0,28,U,3.0,106445.04,5.0,8.0
1424491,Test,14.0,175.0,50,U,2.0,29022.86,2.0,5.0
6707760,Test,16.0,202.0,44,M,2.0,149191.53,4.0,7.0
513275,Control,11.0,135.0,46,F,2.0,86510.72,2.0,5.0
140489,Control,5.0,70.0,22,U,2.0,36911.03,1.0,4.0
9380287,Control,12.0,154.0,54,F,2.0,38728.16,0.0,3.0
6155261,Control,15.0,184.0,41,U,2.0,69578.45999999999,0.0,3.0
2593741,Test,7.0,91.0,30,U,2.0,24607.53,0.0,3.0
8409958,Test,21.0,263.0,28,F,2.0,40383.49,0.0,3.0
1705319,Test,10.0,126.0,24,M,2.0,35782.42,3.0,6.0
2447244,Test,5.0,71.0,26,U,4.0,65699.78,2.0,5.0
6539582,Control,6.0,83.0,24,U,3.0,57631.07,5.0,8.0
8666599,Control,18.0,226.0,36,M,4.0,650895.74,6.0,9.0
